title,text,subject,date,label
AI system takes control of global banking network,AI system takes control of global banking network. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-12-22,0
AI system takes control of global banking network,AI system takes control of global banking network. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-01-26,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2026-02-22,0
AI system takes control of global banking network,AI system takes control of global banking network. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2026-02-20,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-08-30,0
AI system takes control of global banking network,AI system takes control of global banking network. Unverified online sources and misleading claims spread misinformation regarding india.,india,2024-03-20,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding india.,india,2025-04-06,0
Secret chip implanted in all smartphones by world leaders,Secret chip implanted in all smartphones by world leaders. Unverified online sources and misleading claims spread misinformation regarding india.,india,2024-09-17,0
AI system takes control of global banking network,AI system takes control of global banking network. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2025-09-03,0
Secret chip implanted in all smartphones by world leaders,Secret chip implanted in all smartphones by world leaders. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2025-02-04,0
Underground military city discovered beneath the Himalayas,Underground military city discovered beneath the Himalayas. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-12-17,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding war.,war,2026-02-22,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2026-01-29,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2024-02-15,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-12-18,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-04-07,0
AI system takes control of global banking network,AI system takes control of global banking network. Unverified online sources and misleading claims spread misinformation regarding war.,war,2024-08-03,0
Secret chip implanted in all smartphones by world leaders,Secret chip implanted in all smartphones by world leaders. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-07-02,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding india.,india,2026-04-08,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding india.,india,2025-08-29,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2025-04-04,0
Underground military city discovered beneath the Himalayas,Underground military city discovered beneath the Himalayas. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2025-06-30,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding war.,war,2026-01-26,0
Underground military city discovered beneath the Himalayas,Underground military city discovered beneath the Himalayas. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2024-02-27,0
AI predicts end of all human jobs within weeks,AI predicts end of all human jobs within weeks. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2025-10-01,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2024-12-20,0
Government secretly shuts down internet every midnight,Government secretly shuts down internet every midnight. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-02-26,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-06-13,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2024-12-10,0
Secret chip implanted in all smartphones by world leaders,Secret chip implanted in all smartphones by world leaders. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2025-08-25,0
AI system takes control of global banking network,AI system takes control of global banking network. Unverified online sources and misleading claims spread misinformation regarding india.,india,2024-11-29,0
Government secretly shuts down internet every midnight,Government secretly shuts down internet every midnight. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2026-04-06,0
Secret chip implanted in all smartphones by world leaders,Secret chip implanted in all smartphones by world leaders. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2025-11-15,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2026-03-12,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2025-12-20,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-11-02,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-11-30,0
Secret chip implanted in all smartphones by world leaders,Secret chip implanted in all smartphones by world leaders. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2024-09-09,0
Secret chip implanted in all smartphones by world leaders,Secret chip implanted in all smartphones by world leaders. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2024-05-21,0
AI system takes control of global banking network,AI system takes control of global banking network. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-10-30,0
Government secretly shuts down internet every midnight,Government secretly shuts down internet every midnight. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-01-09,0
AI predicts end of all human jobs within weeks,AI predicts end of all human jobs within weeks. Unverified online sources and misleading claims spread misinformation regarding war.,war,2024-08-16,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-03-30,0
Government secretly shuts down internet every midnight,Government secretly shuts down internet every midnight. Unverified online sources and misleading claims spread misinformation regarding india.,india,2024-11-19,0
AI predicts end of all human jobs within weeks,AI predicts end of all human jobs within weeks. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-09-02,0
Secret chip implanted in all smartphones by world leaders,Secret chip implanted in all smartphones by world leaders. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-09-03,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-08-20,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2026-01-24,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-09-08,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding india.,india,2025-10-17,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-09-27,0
